IDX,Year,Month,Quarter,Overnight,1-week,1-month,3-month,6-month,9-month,12-month
110,2005,07,3,,,3.329999,3.4561515,3.5813665,3.651468,3.706237
111,2005,08,3,,,3.511162609,3.701521304,3.85878087,3.946239565,4.012948696
112,2005,09,3,,,3.757857143,3.895917619,3.975956667,4.025181905,4.072614286
113,2005,10,4,,,4.23932,4.301227,4.384899,4.451116,4.512768
114,2005,11,4,,,3.968445455,4.243774091,4.445137727,4.567706818,4.654319091
115,2005,12,4,,,4.0960745,4.2237675,4.386092,4.471559,4.5265175
116,2006,01,1,3.649120526,3.736852105,3.868266842,4.030579474,4.178610526,4.251660526,4.298301053
117,2006,02,1,3.8005725,3.857626,3.867134,4.067858,4.25609,4.3674135,4.4458705
118,2006,03,1,3.929007391,4.113038696,4.20636087,4.366108696,4.49026087,4.56913087,4.618807391
119,2006,04,2,3.919572941,4.149408824,4.332920588,4.587107647,4.661941765,4.720062941,4.757300588
120,2006,05,2,3.807394,4.192258,4.5202155,4.554979,4.641018,4.7020765,4.7456035
121,2006,06,2,3.925844091,4.016700909,4.333778182,4.632309545,4.807677727,4.902381818,4.967135
122,2006,07,3,3.881058571,3.92927381,4.094127619,4.437333333,4.686138571,4.817589524,4.911901429
123,2006,08,3,3.747326087,3.786343913,3.968781304,4.247822609,4.409056087,4.516933913,4.607150435
124,2006,09,3,3.826450476,3.980718571,4.087470952,4.178040952,4.260442381,4.326820476,4.379400952
125,2006,10,4,3.883545,4.041455,4.157749,4.163099,4.23359,4.291615,4.335974
126,2006,11,4,3.831100909,3.948722273,3.964146818,4.004188636,4.080458636,4.127621364,4.159630909
127,2006,12,4,3.832532632,4.107129474,4.021673158,3.989916842,4.011006316,4.027566316,4.034318421
128,2007,01,1,3.755307727,3.839753636,3.944350455,4.024106818,4.101595455,4.16039,4.204840909
129,2007,02,1,3.96122,4.131924444,4.133967778,4.201815,4.313204444,4.410039444,4.483909444
130,2007,03,1,3.895223636,4.116122727,4.160222727,4.210098182,4.261799091,4.309814545,4.349253636
131,2007,04,2,4.375653889,4.691864444,4.315556111,4.231785556,4.258768889,4.305437222,4.345198889
132,2007,05,2,4.117278095,4.52364,4.472959048,4.429285714,4.446407619,4.477141905,4.508775238
133,2007,06,2,3.845857,4.199858,4.4070715,4.4719285,4.5723395,4.6638215,4.7469645
134,2007,07,3,4.094812857,4.321054286,4.324489524,4.410374762,4.495918571,4.572925714,4.646565714
135,2007,08,3,4.254316522,4.591831739,4.573850435,4.63823087,4.654441304,4.657142609,4.666023913
136,2007,09,3,4.508345263,5.175601579,4.968534211,4.857631579,4.784662105,4.724361053,4.716728947
137,2007,10,4,4.591925714,5.304387619,5.204693333,5.096939524,4.905629524,4.775,4.714354762
138,2007,11,4,1.510568636,2.637823636,3.222142727,3.665454545,3.760130455,3.778408636,3.795715
139,2007,12,4,2.291522105,3.058383158,3.697781053,3.746202632,3.741878947,3.713194737,3.694810526
140,2008,01,1,2.065794091,2.343830909,2.719058636,2.968084091,3.020226818,2.958408636,2.914643182
141,2008,02,1,1.845301053,1.945001053,2.243533684,2.309774737,2.329135789,2.305602105,2.290187368
142,2008,03,1,1.893421053,2.036804737,2.02267,2.063082632,2.036955789,2.013119474,1.996202632
143,2008,04,2,1.002890952,1.193163333,1.580000476,1.978571905,2.093332857,2.174046667,2.238367619
144,2008,05,2,1.1136425,1.189535,1.455215,1.88,2.1049275,2.32825,2.489607
145,2008,06,2,1.258501,1.4290005,1.81025,2.2296785,2.537964,2.8281425,3.1053205
146,2008,07,3,1.407045,1.539059091,1.833440909,2.277207727,2.591493636,2.808117273,3.035649545
147,2008,08,3,1.454211053,1.554398421,1.831542105,2.242763684,2.533722105,2.715301053,2.940563158
148,2008,09,3,1.765611429,2.377194286,2.747423333,2.743605714,2.817202381,2.90445619,3.004318571
149,2008,10,4,1.410000476,2.240271905,3.760305714,3.84278,3.708299048,3.603639048,3.602075238
150,2008,11,4,0.3573565,0.463536,1.117142,2.187822,2.4842145,2.5519635,2.600607
151,2008,12,4,0.172075238,0.237839524,0.807313333,1.468775238,1.96952381,2.114932857,2.221564762
152,2009,01,1,0.121648333,0.12615,0.233095,0.881706111,1.225435556,1.466824444,1.696983333
153,2009,02,1,0.0764465,0.0891595,0.2194635,0.820678,1.171393,1.381249,1.602214
154,2009,03,1,0.079447273,0.135875909,0.310292273,0.904838182,1.218765909,1.423253182,1.635940909
155,2009,04,2,0.073536,0.1183025,0.2724825,0.871321,1.149534,1.308357,1.5022855
156,2009,05,2,0.049812105,0.05,0.111373158,0.539359474,0.849210526,1.025263158,1.201880526
157,2009,06,2,0.054285909,0.058214091,0.09638,0.351202273,0.689805909,0.925552273,1.152435909
158,2009,07,3,0.065542273,0.077418636,0.095275455,0.271121364,0.570001364,0.777533182,0.980681818
159,2009,08,3,0.03047619,0.049848571,0.074899048,0.216820952,0.521395238,0.7183,0.917925238
160,2009,09,3,0.075973636,0.101874091,0.120763182,0.207662273,0.500164545,0.675260909,0.853831364
161,2009,10,4,0.0450555,0.062393,0.1079285,0.2052845,0.496287,0.6604295,0.81568
162,2009,11,4,0.046044286,0.055163333,0.081121905,0.142415238,0.35976381,0.502280476,0.644388571
163,2009,12,4,0.03,0.049272727,0.060916364,0.114392727,0.254400455,0.414221364,0.581625
164,2010,01,1,0.03,0.049568,0.068893,0.1317325,0.26175,0.420072,0.5879295
165,2010,02,1,0.03,0.048791667,0.070218889,0.13,0.245556111,0.386825556,0.54131
166,2010,03,1,0.030636957,0.049397391,0.081832609,0.132236087,0.234627826,0.376133478,0.543044348
167,2010,04,2,0.030996842,0.050199474,0.084116316,0.133891053,0.249644737,0.389699474,0.558253158
168,2010,05,2,0.0502345,0.069629,0.1449495,0.2058245,0.3406385,0.499964,0.679317
169,2010,06,2,0.05911619,0.109456667,0.322517143,0.397415714,0.553843333,0.719524762,0.91020381
170,2010,07,3,0.060289524,0.102414762,0.341564762,0.418129524,0.54032381,0.70602,0.88598
171,2010,08,3,0.046818182,0.052012273,0.196039545,0.294869545,0.420259091,0.596509545,0.782370455
172,2010,09,3,0.06081619,0.084881429,0.189185238,0.285324286,0.414388571,0.581803333,0.779541429
173,2010,10,4,0.0859645,0.1455175,0.2436805,0.3175005,0.4208935,0.5689465,0.7537145
174,2010,11,4,0.059269091,0.101266818,0.173474545,0.249951364,0.353928636,0.506137273,0.675974545
175,2010,12,4,0.091379545,0.147970455,0.244708182,0.295421364,0.416087273,0.573035455,0.752175455
176,2011,01,1,0.04996619,0.051664762,0.157534286,0.22466,0.301939524,0.463622381,0.645747619
177,2011,02,1,0.05,0.057778889,0.137758333,0.217181667,0.280316667,0.438055,0.639206111
178,2011,03,1,0.06812087,0.095886087,0.198215217,0.256257826,0.32180087,0.458384783,0.643943478
179,2011,04,2,0.05,0.071666667,0.199087778,0.257638889,0.327142222,0.441190556,0.626785556
180,2011,05,2,0.0509645,0.071572,0.190643,0.2597315,0.3366965,0.4369285,0.6111435
181,2011,06,2,0.05,0.066632857,0.205901429,0.259778095,0.343741429,0.452721429,0.639150476
182,2011,07,3,0.05,0.0598565,0.199982,0.2612505,0.3471435,0.451822,0.6527325
183,2011,08,3,0.05,0.06,0.209736087,0.277468696,0.374125217,0.454814348,0.666164783
184,2011,09,3,0.05,0.059982,0.21,0.279875,0.3773755,0.4477325,0.670125
185,2011,10,4,0.05,0.079822,0.210714,0.281609,0.3821945,0.4544465,0.698492
186,2011,11,4,0.051720909,0.094058182,0.221931364,0.292222273,0.436201364,0.501444091,0.771589091
187,2011,12,4,0.1226435,0.188607,0.291178,0.347332,0.515499,0.548428,0.836804
188,2012,01,1,0.136032778,0.218056667,0.357698889,0.398410556,0.559085556,0.587896111,0.861962778
189,2012,02,1,0.098521429,0.142415238,0.335969048,0.401920952,0.557365714,0.586920952,0.84886
190,2012,03,1,0.098165,0.112483636,0.302027727,0.401850455,0.545975,0.58138,0.840422273
191,2012,04,2,0.098772222,0.11,0.302509444,0.402518333,0.559912778,0.608255556,0.858392778
192,2012,05,2,0.108605,0.134984091,0.302743636,0.402792273,0.570034091,0.632369091,0.879351818
193,2012,06,2,0.099050476,0.13,0.302585714,0.40265381,0.569753333,0.64870619,0.888877619
194,2012,07,3,0.105442381,0.138280952,0.302229524,0.402456667,0.568730476,0.644231429,0.883978571
195,2012,08,3,0.098789565,0.130154348,0.300526957,0.400882174,0.560123478,0.633743913,0.87382087
196,2012,09,3,0.1243235,0.150643,0.300409,0.4004625,0.5550345,0.6233375,0.8633735
197,2012,10,4,0.1268035,0.1509995,0.297411,0.3988755,0.548803,0.6188385,0.8588745
